date,amount,description,counterparty,currency
2025-06-02,-367.39,Realtor.com ****4863,Realtor.com,USD
2025-06-03,-482.48,FedEx ****4259,FedEx,USD
2025-06-03,-1460.87,Google Ads ****6527,Google Ads,USD
2025-06-08,12066.65,Stripe Payment,Stripe,USD
2025-06-08,-467.51,FedEx ****7387,FedEx,USD
2025-06-10,-136.45,Vistaprint ****5122,Vistaprint,USD
2025-06-10,-30.01,MLS Cincinnati ****9574,MLS Cincinnati,USD
2025-06-11,-73.93,Dotloop ****2045,Dotloop,USD
2025-06-11,-308.85,Office Depot ****8126,Office Depot,USD
2025-06-15,-871.09,Facebook Ads ****5655,Facebook Ads,USD
2025-06-16,17229.27,PayPal Payment,PayPal,USD
2025-06-17,-281.34,DocuSign ****2467,DocuSign,USD
2025-06-20,-380.25,CoreLogic ****9535,CoreLogic,USD
2025-06-20,-104.48,Dotloop ****1378,Dotloop,USD
2025-06-20,-85.05,FedEx ****9630,FedEx,USD
2025-06-20,-1954.31,Google Ads ****9835,Google Ads,USD
2025-06-20,-198.75,MLS Cincinnati ****5256,MLS Cincinnati,USD
2025-06-21,-50.57,Matterport ****7504,Matterport,USD
2025-06-22,-74.37,Realtor.com ****3544,Realtor.com,USD
2025-06-22,-328.78,FedEx ****6073,FedEx,USD
2025-06-23,-351.69,Zillow Premier Agent ****9059,Zillow Premier Agent,USD
2025-06-28,15582.41,Wire Transfer Payment,Wire Transfer,USD
2025-06-29,-381.13,Vistaprint ****4450,Vistaprint,USD
2025-06-30,-167.31,DocuSign ****8052,DocuSign,USD
