date,amount,description,counterparty,currency
2025-08-01,5783.58,PayPal Payment,PayPal,USD
2025-08-01,-418.42,Dotloop ****2998,Dotloop,USD
2025-08-02,2684.64,Stripe Payment,Stripe,USD
2025-08-05,-265.33,FedEx ****4039,FedEx,USD
2025-08-05,-431.99,Office Depot ****4912,Office Depot,USD
2025-08-05,-1483.62,Facebook Ads ****2310,Facebook Ads,USD
2025-08-06,7935.97,Stripe Payment,Stripe,USD
2025-08-06,-329.83,Office Depot ****7366,Office Depot,USD
2025-08-06,-129.84,CoreLogic ****2161,CoreLogic,USD
2025-08-07,-98.64,Matterport ****5844,Matterport,USD
2025-08-08,-337.97,Matterport ****1717,Matterport,USD
2025-08-09,9826.33,PayPal Payment,PayPal,USD
2025-08-11,-255.55,Realtor.com ****2617,Realtor.com,USD
2025-08-11,-71.13,Matterport ****4784,Matterport,USD
2025-08-13,-459.38,Office Depot ****3627,Office Depot,USD
2025-08-15,16154.98,Square Payment,Square,USD
2025-08-15,-55.09,Vistaprint ****9830,Vistaprint,USD
2025-08-15,-329.43,Dotloop ****2809,Dotloop,USD
2025-08-16,-89.0,Vistaprint ****1646,Vistaprint,USD
2025-08-19,-53.83,FedEx ****7814,FedEx,USD
2025-08-20,4162.88,Check Payment,Check,USD
2025-08-20,-232.81,Vistaprint ****5828,Vistaprint,USD
2025-08-22,14122.31,PayPal Payment,PayPal,USD
2025-08-22,-257.79,Vistaprint ****4057,Vistaprint,USD
2025-08-22,-178.75,CoreLogic ****8674,CoreLogic,USD
2025-08-22,-114.99,Dotloop ****9621,Dotloop,USD
2025-08-22,-290.12,Vistaprint ****2728,Vistaprint,USD
2025-08-26,-274.77,DocuSign ****5193,DocuSign,USD
2025-08-26,-1355.04,Facebook Ads ****3931,Facebook Ads,USD
2025-08-27,10519.33,Square Payment,Square,USD
2025-08-28,-532.03,Facebook Ads ****7189,Facebook Ads,USD
2025-08-28,-421.37,Realtor.com ****2276,Realtor.com,USD
2025-08-29,4135.43,Stripe Payment,Stripe,USD
2025-08-29,-98.21,Matterport ****5638,Matterport,USD
2025-08-31,-282.26,MLS Cincinnati ****8439,MLS Cincinnati,USD
2025-08-31,-115.19,Dotloop ****9151,Dotloop,USD
2025-08-31,-767.96,Google Ads ****1512,Google Ads,USD
2025-08-31,-402.27,CoreLogic ****1955,CoreLogic,USD
2025-08-31,-151.26,Office Depot ****1666,Office Depot,USD
