date,amount,description,counterparty,currency
2025-01-01,-303.16,Vistaprint ****2189,Vistaprint,USD
2025-01-04,12648.65,Square Payment,Square,USD
2025-01-07,-141.93,CoreLogic ****4629,CoreLogic,USD
2025-01-08,-1642.21,Facebook Ads ****4796,Facebook Ads,USD
2025-01-08,-178.93,FedEx ****9542,FedEx,USD
2025-01-09,-200.48,MLS Cincinnati ****1701,MLS Cincinnati,USD
2025-01-10,7627.16,Check Payment,Check,USD
2025-01-10,7948.35,Check Payment,Check,USD
2025-01-10,-319.27,MLS Cincinnati ****4170,MLS Cincinnati,USD
2025-01-11,-263.03,DocuSign ****2483,DocuSign,USD
2025-01-11,-100.63,DocuSign ****3395,DocuSign,USD
2025-01-16,17433.7,PayPal Payment,PayPal,USD
2025-01-17,-85.9,CoreLogic ****4842,CoreLogic,USD
2025-01-17,-239.06,DocuSign ****6008,DocuSign,USD
2025-01-19,-1837.16,Facebook Ads ****5767,Facebook Ads,USD
2025-01-19,-263.53,CoreLogic ****4913,CoreLogic,USD
2025-01-19,-461.0,DocuSign ****1760,DocuSign,USD
2025-01-21,16893.49,Square Payment,Square,USD
2025-01-22,-236.55,DocuSign ****6004,DocuSign,USD
2025-01-22,-76.7,Matterport ****2343,Matterport,USD
2025-01-22,-393.22,FedEx ****6993,FedEx,USD
2025-01-24,-894.85,Facebook Ads ****2252,Facebook Ads,USD
2025-01-24,-283.15,MLS Cincinnati ****9842,MLS Cincinnati,USD
2025-01-25,-295.83,Matterport ****7171,Matterport,USD
2025-01-27,-411.01,Zillow Premier Agent ****7637,Zillow Premier Agent,USD
2025-01-27,-421.56,MLS Cincinnati ****5314,MLS Cincinnati,USD
2025-01-28,-1276.83,Facebook Ads ****6918,Facebook Ads,USD
2025-01-29,-97.39,Office Depot ****6971,Office Depot,USD
2025-01-29,-329.4,Vistaprint ****5533,Vistaprint,USD
2025-01-30,-448.75,Realtor.com ****9309,Realtor.com,USD
2025-01-30,-254.66,Vistaprint ****6878,Vistaprint,USD
2025-01-31,-126.06,Office Depot ****1600,Office Depot,USD
