date,amount,description,counterparty,currency
2025-02-01,-480.36,CoreLogic ****3762,CoreLogic,USD
2025-02-02,-88.8,CoreLogic ****6432,CoreLogic,USD
2025-02-02,-432.89,MLS Cincinnati ****3293,MLS Cincinnati,USD
2025-02-03,5087.77,Check Payment,Check,USD
2025-02-03,-349.98,Office Depot ****9423,Office Depot,USD
2025-02-06,8772.96,Stripe Payment,Stripe,USD
2025-02-06,-564.72,Facebook Ads ****3639,Facebook Ads,USD
2025-02-07,-887.39,Google Ads ****3949,Google Ads,USD
2025-02-08,-1173.81,Facebook Ads ****8723,Facebook Ads,USD
2025-02-10,4836.32,PayPal Payment,PayPal,USD
2025-02-10,-268.51,FedEx ****3406,FedEx,USD
2025-02-17,9845.99,Square Payment,Square,USD
2025-02-18,-662.86,Google Ads ****4315,Google Ads,USD
2025-02-20,4570.07,Square Payment,Square,USD
2025-02-21,12408.22,Check Payment,Check,USD
2025-02-21,-1386.19,Facebook Ads ****7732,Facebook Ads,USD
2025-02-22,5644.83,Stripe Payment,Stripe,USD
2025-02-22,7573.03,PayPal Payment,PayPal,USD
2025-02-22,10543.46,Stripe Payment,Stripe,USD
2025-02-22,-309.69,Dotloop ****1305,Dotloop,USD
2025-02-22,-350.07,Matterport ****3450,Matterport,USD
2025-02-25,-1691.92,Google Ads ****3979,Google Ads,USD
2025-02-25,-267.63,FedEx ****3747,FedEx,USD
2025-02-25,-57.7,Office Depot ****7196,Office Depot,USD
2025-02-25,-109.28,Realtor.com ****1639,Realtor.com,USD
2025-02-27,-1121.92,Facebook Ads ****6410,Facebook Ads,USD
