date,amount,description,counterparty,currency
2025-09-04,-41.46,Vistaprint ****5660,Vistaprint,USD
2025-09-04,-492.59,MLS Cincinnati ****4519,MLS Cincinnati,USD
2025-09-05,-372.5,FedEx ****7436,FedEx,USD
2025-09-06,-462.89,Zillow Premier Agent ****6478,Zillow Premier Agent,USD
2025-09-07,5240.13,Stripe Payment,Stripe,USD
2025-09-07,-243.68,Zillow Premier Agent ****3557,Zillow Premier Agent,USD
2025-09-08,-199.36,MLS Cincinnati ****5093,MLS Cincinnati,USD
2025-09-08,-1004.25,Google Ads ****8796,Google Ads,USD
2025-09-09,-417.21,DocuSign ****2562,DocuSign,USD
2025-09-11,-410.26,MLS Cincinnati ****2505,MLS Cincinnati,USD
2025-09-11,-162.65,Dotloop ****7460,Dotloop,USD
2025-09-14,-356.44,Matterport ****3509,Matterport,USD
2025-09-15,-237.56,DocuSign ****7505,DocuSign,USD
2025-09-15,-222.85,Dotloop ****2974,Dotloop,USD
2025-09-16,-464.92,Matterport ****5162,Matterport,USD
2025-09-18,16193.14,PayPal Payment,PayPal,USD
2025-09-18,-298.25,Office Depot ****2475,Office Depot,USD
2025-09-20,-176.68,Zillow Premier Agent ****3450,Zillow Premier Agent,USD
2025-09-21,8593.67,PayPal Payment,PayPal,USD
2025-09-21,17020.9,PayPal Payment,PayPal,USD
2025-09-21,-289.25,Matterport ****3534,Matterport,USD
2025-09-22,-295.31,Dotloop ****4562,Dotloop,USD
2025-09-23,-1344.72,Facebook Ads ****4504,Facebook Ads,USD
2025-09-23,-270.86,Zillow Premier Agent ****5945,Zillow Premier Agent,USD
2025-09-23,-167.69,FedEx ****7251,FedEx,USD
2025-09-24,-206.68,FedEx ****5993,FedEx,USD
2025-09-25,9410.29,Wire Transfer Payment,Wire Transfer,USD
2025-09-25,5116.81,Check Payment,Check,USD
2025-09-27,-368.7,Realtor.com ****8905,Realtor.com,USD
