date,amount,description,counterparty,currency
2024-10-10,-411.66,CoreLogic ****2679,CoreLogic,USD
2024-10-12,-205.91,Zillow Premier Agent ****1869,Zillow Premier Agent,USD
2024-10-13,7659.32,Check Payment,Check,USD
2024-10-15,-1436.25,Facebook Ads ****5760,Facebook Ads,USD
2024-10-15,-437.7,Office Depot ****8259,Office Depot,USD
2024-10-17,7473.37,PayPal Payment,PayPal,USD
2024-10-18,8160.57,Stripe Payment,Stripe,USD
2024-10-18,13038.43,Check Payment,Check,USD
2024-10-18,-408.94,Dotloop ****9564,Dotloop,USD
2024-10-18,-144.02,FedEx ****2016,FedEx,USD
2024-10-21,-222.87,Dotloop ****6122,Dotloop,USD
2024-10-25,13517.38,Wire Transfer Payment,Wire Transfer,USD
2024-10-25,-354.8,Matterport ****6281,Matterport,USD
2024-10-25,-161.63,Vistaprint ****1769,Vistaprint,USD
2024-10-26,-31.16,Zillow Premier Agent ****5117,Zillow Premier Agent,USD
2024-10-27,-472.77,Office Depot ****7839,Office Depot,USD
2024-10-28,13948.88,Stripe Payment,Stripe,USD
2024-10-28,-376.26,FedEx ****4675,FedEx,USD
2024-10-30,10006.83,PayPal Payment,PayPal,USD
2024-10-30,-462.57,CoreLogic ****3173,CoreLogic,USD
2024-10-30,-449.59,Vistaprint ****9747,Vistaprint,USD
2024-10-30,-119.95,Zillow Premier Agent ****3636,Zillow Premier Agent,USD
2024-10-31,-488.21,FedEx ****3913,FedEx,USD
2024-10-31,-386.37,Realtor.com ****8870,Realtor.com,USD
2024-10-31,-121.9,MLS Cincinnati ****9866,MLS Cincinnati,USD
