date,amount,description,counterparty,currency
2024-11-01,-291.6,FedEx ****4892,FedEx,USD
2024-11-02,-284.64,Office Depot ****4218,Office Depot,USD
2024-11-04,-1867.23,Facebook Ads ****7025,Facebook Ads,USD
2024-11-05,6423.88,Check Payment,Check,USD
2024-11-09,-1892.94,Google Ads ****1833,Google Ads,USD
2024-11-09,-445.69,FedEx ****7248,FedEx,USD
2024-11-10,-130.07,CoreLogic ****4495,CoreLogic,USD
2024-11-11,11543.96,Wire Transfer Payment,Wire Transfer,USD
2024-11-11,-189.35,FedEx ****4937,FedEx,USD
2024-11-13,23249.5,Check Payment,Check,USD
2024-11-13,15679.72,PayPal Payment,PayPal,USD
2024-11-13,-57.38,Matterport ****9276,Matterport,USD
2024-11-13,-282.96,Dotloop ****7609,Dotloop,USD
2024-11-14,-276.99,Office Depot ****1144,Office Depot,USD
2024-11-16,15131.97,Stripe Payment,Stripe,USD
2024-11-17,12976.3,Square Payment,Square,USD
2024-11-18,-362.1,DocuSign ****3536,DocuSign,USD
2024-11-23,-286.33,Office Depot ****2194,Office Depot,USD
2024-11-28,-461.34,Office Depot ****4994,Office Depot,USD
2024-11-29,-182.26,CoreLogic ****5809,CoreLogic,USD
