date,amount,description,counterparty,currency
2025-08-01,-441.34,Paychex ****3967,Paychex,USD
2025-08-02,7193.82,Square Payment,Square,USD
2025-08-06,-222.97,Lakeshore Learning ****7230,Lakeshore Learning,USD
2025-08-08,-145.05,Spectrum ****3508,Spectrum,USD
2025-08-09,9028.85,Wire Transfer Payment,Wire Transfer,USD
2025-08-10,-34.08,Cincinnati Water Works ****4675,Cincinnati Water Works,USD
2025-08-11,-324.4,Paychex ****5933,Paychex,USD
2025-08-13,-6028.17,ADP ****3247,ADP,USD
2025-08-14,-73.79,Discount School Supply ****9246,Discount School Supply,USD
2025-08-14,-241.56,Sysco ****9524,Sysco,USD
2025-08-14,-397.76,Lakeshore Learning ****9154,Lakeshore Learning,USD
2025-08-15,-195.64,Duke Energy ****4087,Duke Energy,USD
2025-08-17,7058.4,Wire Transfer Payment,Wire Transfer,USD
2025-08-17,2549.61,Check Payment,Check,USD
2025-08-18,-72.97,Paychex ****9524,Paychex,USD
2025-08-18,-268.0,Lakeshore Learning ****2928,Lakeshore Learning,USD
2025-08-20,10842.87,Square Payment,Square,USD
2025-08-23,-104.33,Sysco ****1749,Sysco,USD
2025-08-23,-105.27,Spectrum ****7006,Spectrum,USD
2025-08-24,-185.47,Spectrum ****3192,Spectrum,USD
2025-08-24,-339.44,School Specialty ****1323,School Specialty,USD
2025-08-25,-132.48,Gordon Food Service ****6641,Gordon Food Service,USD
2025-08-25,-391.34,Sysco ****1796,Sysco,USD
2025-08-27,-401.26,Paychex ****7147,Paychex,USD
2025-08-28,-476.28,Sam's Club ****6279,Sam's Club,USD
2025-08-28,-125.32,Discount School Supply ****1359,Discount School Supply,USD
2025-08-29,-115.52,Spectrum ****1067,Spectrum,USD
