date,amount,description,counterparty,currency
2025-01-01,-427.75,School Specialty ****5942,School Specialty,USD
2025-01-02,-260.07,Gordon Food Service ****2847,Gordon Food Service,USD
2025-01-04,-354.66,Cincinnati Water Works ****8826,Cincinnati Water Works,USD
2025-01-07,11654.32,Square Payment,Square,USD
2025-01-08,-65.95,Gordon Food Service ****8118,Gordon Food Service,USD
2025-01-09,-436.37,Duke Energy ****6090,Duke Energy,USD
2025-01-10,-315.84,Duke Energy ****1901,Duke Energy,USD
2025-01-10,-361.25,School Specialty ****1185,School Specialty,USD
2025-01-11,-467.3,Discount School Supply ****1579,Discount School Supply,USD
2025-01-12,-477.68,Duke Energy ****9568,Duke Energy,USD
2025-01-14,-26.22,Spectrum ****1201,Spectrum,USD
2025-01-14,-249.09,School Specialty ****7274,School Specialty,USD
2025-01-14,-460.03,Cincinnati Water Works ****6241,Cincinnati Water Works,USD
2025-01-14,-491.17,Spectrum ****7568,Spectrum,USD
2025-01-15,6389.69,Square Payment,Square,USD
2025-01-15,-55.34,Spectrum ****2262,Spectrum,USD
2025-01-15,-449.78,Lakeshore Learning ****2889,Lakeshore Learning,USD
2025-01-15,-296.48,Lakeshore Learning ****2956,Lakeshore Learning,USD
2025-01-16,-267.87,Lakeshore Learning ****4329,Lakeshore Learning,USD
2025-01-16,-371.73,Cincinnati Water Works ****4909,Cincinnati Water Works,USD
2025-01-16,-377.3,Paychex ****3877,Paychex,USD
2025-01-17,-287.72,Lakeshore Learning ****1130,Lakeshore Learning,USD
2025-01-20,-64.15,Cincinnati Water Works ****9791,Cincinnati Water Works,USD
2025-01-22,-267.62,Duke Energy ****1908,Duke Energy,USD
2025-01-22,-3834.41,ADP ****3577,ADP,USD
2025-01-23,-104.31,Sysco ****3079,Sysco,USD
2025-01-23,-453.42,Paychex ****3938,Paychex,USD
2025-01-24,-3763.4,ADP ****2369,ADP,USD
2025-01-24,-224.2,Paychex ****6272,Paychex,USD
2025-01-25,-387.53,Paychex ****2083,Paychex,USD
2025-01-30,-373.14,Sysco ****2934,Sysco,USD
2025-01-31,-184.13,School Specialty ****8034,School Specialty,USD
