date,amount,description,counterparty,currency
2025-02-01,8971.31,PayPal Payment,PayPal,USD
2025-02-01,-279.79,Discount School Supply ****7401,Discount School Supply,USD
2025-02-06,7089.56,Square Payment,Square,USD
2025-02-06,-203.73,Paychex ****6038,Paychex,USD
2025-02-09,-276.66,Gordon Food Service ****4902,Gordon Food Service,USD
2025-02-09,-73.41,Duke Energy ****3290,Duke Energy,USD
2025-02-09,-54.29,School Specialty ****4641,School Specialty,USD
2025-02-10,-414.48,Paychex ****2226,Paychex,USD
2025-02-10,-103.08,Lakeshore Learning ****8635,Lakeshore Learning,USD
2025-02-10,-362.8,Lakeshore Learning ****6828,Lakeshore Learning,USD
2025-02-10,-416.24,Gordon Food Service ****7098,Gordon Food Service,USD
2025-02-12,3198.97,PayPal Payment,PayPal,USD
2025-02-12,-395.47,Discount School Supply ****2785,Discount School Supply,USD
2025-02-13,4716.52,Square Payment,Square,USD
2025-02-13,-148.97,Sysco ****6161,Sysco,USD
2025-02-14,-67.95,Lakeshore Learning ****5984,Lakeshore Learning,USD
2025-02-14,-39.76,Discount School Supply ****7625,Discount School Supply,USD
2025-02-16,-154.18,Duke Energy ****2223,Duke Energy,USD
2025-02-16,-82.35,Cincinnati Water Works ****6870,Cincinnati Water Works,USD
2025-02-17,5020.98,Wire Transfer Payment,Wire Transfer,USD
2025-02-18,-48.25,Spectrum ****5896,Spectrum,USD
2025-02-19,-481.56,Duke Energy ****3332,Duke Energy,USD
2025-02-20,-300.87,Lakeshore Learning ****9280,Lakeshore Learning,USD
2025-02-24,-3311.41,ADP ****3141,ADP,USD
2025-02-27,-470.35,Paychex ****2376,Paychex,USD
2025-02-28,-69.19,Sysco ****4792,Sysco,USD
