date,amount,description,counterparty,currency
2024-12-01,-381.89,Paychex ****5877,Paychex,USD
2024-12-02,-124.69,Gordon Food Service ****6744,Gordon Food Service,USD
2024-12-02,-211.53,Paychex ****3329,Paychex,USD
2024-12-03,4704.99,PayPal Payment,PayPal,USD
2024-12-03,-295.79,School Specialty ****9720,School Specialty,USD
2024-12-03,-213.92,Spectrum ****8039,Spectrum,USD
2024-12-04,-259.99,Gordon Food Service ****6289,Gordon Food Service,USD
2024-12-04,-185.43,Sysco ****3139,Sysco,USD
2024-12-05,-238.62,School Specialty ****6711,School Specialty,USD
2024-12-05,-233.56,Lakeshore Learning ****2923,Lakeshore Learning,USD
2024-12-05,-6163.85,ADP ****3719,ADP,USD
2024-12-05,-493.11,Spectrum ****2560,Spectrum,USD
2024-12-05,-85.27,Paychex ****3174,Paychex,USD
2024-12-05,-372.19,Lakeshore Learning ****8511,Lakeshore Learning,USD
2024-12-08,7640.04,Stripe Payment,Stripe,USD
2024-12-08,-251.48,Gordon Food Service ****3174,Gordon Food Service,USD
2024-12-08,-355.41,School Specialty ****2975,School Specialty,USD
2024-12-09,-322.16,Cincinnati Water Works ****4836,Cincinnati Water Works,USD
2024-12-10,-206.96,Gordon Food Service ****2678,Gordon Food Service,USD
2024-12-10,-91.51,Lakeshore Learning ****3017,Lakeshore Learning,USD
2024-12-11,18306.31,Wire Transfer Payment,Wire Transfer,USD
2024-12-11,-199.59,Sam's Club ****5902,Sam's Club,USD
2024-12-12,-392.39,Cincinnati Water Works ****3181,Cincinnati Water Works,USD
2024-12-12,-433.89,Cincinnati Water Works ****7895,Cincinnati Water Works,USD
2024-12-13,-69.34,Sysco ****6905,Sysco,USD
2024-12-14,-444.02,Discount School Supply ****5945,Discount School Supply,USD
2024-12-14,-313.29,Spectrum ****4090,Spectrum,USD
2024-12-15,-310.47,Spectrum ****5668,Spectrum,USD
2024-12-15,-328.09,Duke Energy ****2163,Duke Energy,USD
2024-12-16,-201.63,Lakeshore Learning ****3711,Lakeshore Learning,USD
2024-12-18,-142.7,Discount School Supply ****2380,Discount School Supply,USD
2024-12-19,-349.4,Spectrum ****8717,Spectrum,USD
2024-12-21,-68.32,Paychex ****2559,Paychex,USD
2024-12-21,-6432.83,ADP ****4559,ADP,USD
2024-12-22,-496.12,School Specialty ****8009,School Specialty,USD
2024-12-22,-368.16,Sam's Club ****3480,Sam's Club,USD
2024-12-24,-493.77,School Specialty ****6185,School Specialty,USD
2024-12-26,-271.74,Gordon Food Service ****8291,Gordon Food Service,USD
2024-12-26,-314.9,School Specialty ****3688,School Specialty,USD
2024-12-26,-191.98,Cincinnati Water Works ****8035,Cincinnati Water Works,USD
2024-12-28,-92.86,Paychex ****9691,Paychex,USD
2024-12-31,-165.38,Cincinnati Water Works ****1894,Cincinnati Water Works,USD
