date,amount,description,counterparty,currency
2025-07-01,-56.17,Discount School Supply ****9303,Discount School Supply,USD
2025-07-02,-143.51,School Specialty ****8478,School Specialty,USD
2025-07-02,-380.76,Sysco ****2480,Sysco,USD
2025-07-03,-443.06,Spectrum ****7732,Spectrum,USD
2025-07-03,-88.83,Gordon Food Service ****8259,Gordon Food Service,USD
2025-07-03,-414.98,Sam's Club ****9442,Sam's Club,USD
2025-07-03,-6899.15,ADP ****4511,ADP,USD
2025-07-03,-332.51,Gordon Food Service ****4387,Gordon Food Service,USD
2025-07-07,-5020.49,ADP ****6236,ADP,USD
2025-07-10,-187.77,Gordon Food Service ****8496,Gordon Food Service,USD
2025-07-10,-434.64,Sam's Club ****3954,Sam's Club,USD
2025-07-12,-270.71,Discount School Supply ****4937,Discount School Supply,USD
2025-07-14,5975.77,PayPal Payment,PayPal,USD
2025-07-14,-362.77,Paychex ****5895,Paychex,USD
2025-07-14,-386.57,Gordon Food Service ****3762,Gordon Food Service,USD
2025-07-15,-76.35,Paychex ****2045,Paychex,USD
2025-07-15,-455.78,Sysco ****7628,Sysco,USD
2025-07-15,-248.62,Lakeshore Learning ****5237,Lakeshore Learning,USD
2025-07-16,-329.28,Sysco ****5536,Sysco,USD
2025-07-16,-351.0,Gordon Food Service ****8794,Gordon Food Service,USD
2025-07-16,-52.56,Paychex ****8406,Paychex,USD
2025-07-17,-378.5,Gordon Food Service ****6031,Gordon Food Service,USD
2025-07-18,-243.02,Sam's Club ****4575,Sam's Club,USD
2025-07-18,-301.94,School Specialty ****4111,School Specialty,USD
2025-07-19,-201.55,Sam's Club ****5817,Sam's Club,USD
2025-07-20,-346.67,Sysco ****7506,Sysco,USD
2025-07-20,-248.5,Lakeshore Learning ****2166,Lakeshore Learning,USD
2025-07-21,8123.23,Stripe Payment,Stripe,USD
2025-07-21,-262.73,Gordon Food Service ****7253,Gordon Food Service,USD
2025-07-22,-221.23,Sysco ****3470,Sysco,USD
2025-07-23,-307.04,Paychex ****5631,Paychex,USD
2025-07-24,-28.49,Lakeshore Learning ****7131,Lakeshore Learning,USD
2025-07-25,7339.46,Stripe Payment,Stripe,USD
2025-07-26,4567.34,Square Payment,Square,USD
2025-07-27,-367.61,Discount School Supply ****9148,Discount School Supply,USD
2025-07-27,-265.97,Sam's Club ****3785,Sam's Club,USD
2025-07-27,-335.86,Sam's Club ****4641,Sam's Club,USD
2025-07-28,8516.42,PayPal Payment,PayPal,USD
2025-07-29,-387.39,Spectrum ****3999,Spectrum,USD
2025-07-30,-256.6,Lakeshore Learning ****3897,Lakeshore Learning,USD
