date,amount,description,counterparty,currency
2025-05-02,9292.2,Wire Transfer Payment,Wire Transfer,USD
2025-05-02,-4104.48,ADP ****2705,ADP,USD
2025-05-04,-3161.91,ADP ****6213,ADP,USD
2025-05-08,-233.88,Sysco ****5315,Sysco,USD
2025-05-09,-283.46,Paychex ****4029,Paychex,USD
2025-05-09,-231.81,Paychex ****3422,Paychex,USD
2025-05-10,-107.12,Duke Energy ****3738,Duke Energy,USD
2025-05-13,5753.46,PayPal Payment,PayPal,USD
2025-05-13,-84.94,Gordon Food Service ****7936,Gordon Food Service,USD
2025-05-14,-293.02,Sysco ****3476,Sysco,USD
2025-05-16,15005.21,Check Payment,Check,USD
2025-05-18,-200.47,Cincinnati Water Works ****8303,Cincinnati Water Works,USD
2025-05-19,-263.5,School Specialty ****9467,School Specialty,USD
2025-05-20,-351.36,Spectrum ****8779,Spectrum,USD
2025-05-22,6162.06,Square Payment,Square,USD
2025-05-22,-171.47,Lakeshore Learning ****7512,Lakeshore Learning,USD
2025-05-22,-450.07,Duke Energy ****5341,Duke Energy,USD
2025-05-24,-424.38,School Specialty ****9561,School Specialty,USD
2025-05-25,-251.22,Gordon Food Service ****2293,Gordon Food Service,USD
2025-05-31,-70.93,Paychex ****6632,Paychex,USD
