date,amount,description,counterparty,currency
2024-10-09,4359.68,PayPal Payment,PayPal,USD
2024-10-09,-332.79,Sam's Club ****3692,Sam's Club,USD
2024-10-12,6475.86,Stripe Payment,Stripe,USD
2024-10-12,-343.58,Sysco ****9019,Sysco,USD
2024-10-13,-412.23,Gordon Food Service ****9281,Gordon Food Service,USD
2024-10-14,-179.84,Sam's Club ****8496,Sam's Club,USD
2024-10-14,-354.38,Sam's Club ****9369,Sam's Club,USD
2024-10-14,-424.94,Sam's Club ****1878,Sam's Club,USD
2024-10-15,-382.35,Sysco ****2025,Sysco,USD
2024-10-16,-324.14,Cincinnati Water Works ****4053,Cincinnati Water Works,USD
2024-10-19,-167.63,Lakeshore Learning ****2885,Lakeshore Learning,USD
2024-10-19,-227.53,Spectrum ****8570,Spectrum,USD
2024-10-19,-138.32,Lakeshore Learning ****2916,Lakeshore Learning,USD
2024-10-20,3322.19,Wire Transfer Payment,Wire Transfer,USD
2024-10-20,-318.25,Duke Energy ****5873,Duke Energy,USD
2024-10-21,4240.03,Check Payment,Check,USD
2024-10-21,-308.3,Cincinnati Water Works ****7286,Cincinnati Water Works,USD
2024-10-22,7017.61,Square Payment,Square,USD
2024-10-22,-256.17,Discount School Supply ****9804,Discount School Supply,USD
2024-10-24,-233.13,Lakeshore Learning ****8412,Lakeshore Learning,USD
2024-10-25,-173.87,Paychex ****7367,Paychex,USD
2024-10-26,-257.58,Discount School Supply ****3298,Discount School Supply,USD
2024-10-27,-209.7,Cincinnati Water Works ****4519,Cincinnati Water Works,USD
2024-10-27,-404.76,Lakeshore Learning ****9796,Lakeshore Learning,USD
2024-10-28,-303.83,Cincinnati Water Works ****6700,Cincinnati Water Works,USD
2024-10-28,-3423.76,ADP ****3194,ADP,USD
2024-10-29,-230.26,Paychex ****1478,Paychex,USD
2024-10-31,4467.11,PayPal Payment,PayPal,USD
2024-10-31,-467.08,Paychex ****3838,Paychex,USD
