date,amount,description,counterparty,currency
2025-09-04,-274.29,Paychex ****4669,Paychex,USD
2025-09-06,-60.65,Spectrum ****2659,Spectrum,USD
2025-09-07,-6345.11,ADP ****3443,ADP,USD
2025-09-07,-29.59,School Specialty ****3267,School Specialty,USD
2025-09-07,-355.68,Discount School Supply ****1960,Discount School Supply,USD
2025-09-08,-448.73,Spectrum ****1894,Spectrum,USD
2025-09-09,2334.95,Wire Transfer Payment,Wire Transfer,USD
2025-09-10,7849.73,Wire Transfer Payment,Wire Transfer,USD
2025-09-11,-31.06,School Specialty ****2458,School Specialty,USD
2025-09-12,-134.8,Paychex ****5850,Paychex,USD
2025-09-12,-48.79,Duke Energy ****3862,Duke Energy,USD
2025-09-15,7979.21,PayPal Payment,PayPal,USD
2025-09-15,-111.86,Sam's Club ****7566,Sam's Club,USD
2025-09-15,-346.24,Paychex ****7305,Paychex,USD
2025-09-16,-154.12,Duke Energy ****7319,Duke Energy,USD
2025-09-17,-370.16,Paychex ****8895,Paychex,USD
2025-09-18,-4341.55,ADP ****2522,ADP,USD
2025-09-18,-55.08,School Specialty ****6148,School Specialty,USD
2025-09-19,-78.65,Duke Energy ****7738,Duke Energy,USD
2025-09-23,3697.87,PayPal Payment,PayPal,USD
2025-09-23,-395.1,Cincinnati Water Works ****1472,Cincinnati Water Works,USD
2025-09-25,-105.99,Paychex ****6857,Paychex,USD
2025-09-25,-271.57,Sam's Club ****2560,Sam's Club,USD
2025-09-26,-404.95,Duke Energy ****3732,Duke Energy,USD
2025-09-29,-173.54,Paychex ****2898,Paychex,USD
2025-09-29,-6391.97,ADP ****3969,ADP,USD
2025-09-30,6446.74,Stripe Payment,Stripe,USD
