date,amount,description,counterparty,currency
2024-12-02,-1026.65,Google Ads ****3419,Google Ads,USD
2024-12-02,-385.94,Zoom ****8354,Zoom,USD
2024-12-03,-305.92,Figma ****6766,Figma,USD
2024-12-04,-461.89,Amazon Business ****2443,Amazon Business,USD
2024-12-05,-379.26,Figma ****4630,Figma,USD
2024-12-05,-175.17,Microsoft 365 ****8205,Microsoft 365,USD
2024-12-09,-184.96,Microsoft 365 ****3147,Microsoft 365,USD
2024-12-10,-641.76,Google Ads ****7333,Google Ads,USD
2024-12-10,-343.47,Microsoft 365 ****9331,Microsoft 365,USD
2024-12-10,-426.1,Figma ****2657,Figma,USD
2024-12-12,-361.7,Zoom ****2388,Zoom,USD
2024-12-14,-1921.5,Google Ads ****8967,Google Ads,USD
2024-12-14,-499.99,Adobe Creative Cloud ****3538,Adobe Creative Cloud,USD
2024-12-15,28728.65,Wire Transfer Payment,Wire Transfer,USD
2024-12-15,-138.61,Slack ****8684,Slack,USD
2024-12-17,-368.77,Figma ****3463,Figma,USD
2024-12-17,-203.92,Slack ****6381,Slack,USD
2024-12-18,-301.8,Digital Ocean ****3317,Digital Ocean,USD
2024-12-19,-209.02,Figma ****6543,Figma,USD
2024-12-19,-484.66,Figma ****7421,Figma,USD
2024-12-19,-197.23,AWS ****3953,AWS,USD
2024-12-22,-158.84,Staples ****7256,Staples,USD
2024-12-24,23182.44,Stripe Payment,Stripe,USD
2024-12-24,-281.39,Staples ****9626,Staples,USD
2024-12-24,-223.86,Slack ****3655,Slack,USD
2024-12-27,-731.38,Facebook Ads ****3962,Facebook Ads,USD
2024-12-27,-382.39,Figma ****8355,Figma,USD
2024-12-29,-49.87,Zoom ****6482,Zoom,USD
2024-12-29,-137.83,Amazon Business ****8277,Amazon Business,USD
2024-12-31,-45.75,LinkedIn Sales Nav ****6968,LinkedIn Sales Nav,USD
