date,amount,description,counterparty,currency
2024-10-09,-154.8,GitHub ****6062,GitHub,USD
2024-10-10,5018.79,Check Payment,Check,USD
2024-10-10,-99.77,GitHub ****1815,GitHub,USD
2024-10-12,4967.51,Stripe Payment,Stripe,USD
2024-10-13,5440.42,Stripe Payment,Stripe,USD
2024-10-15,-268.36,Staples ****6655,Staples,USD
2024-10-18,5102.46,PayPal Payment,PayPal,USD
2024-10-19,-509.16,Google Ads ****3347,Google Ads,USD
2024-10-20,2189.31,PayPal Payment,PayPal,USD
2024-10-21,-51.02,Zoom ****4349,Zoom,USD
2024-10-22,3621.59,Wire Transfer Payment,Wire Transfer,USD
2024-10-22,-159.54,Digital Ocean ****8972,Digital Ocean,USD
2024-10-23,-736.11,Google Ads ****6105,Google Ads,USD
2024-10-24,-234.97,Zoom ****5475,Zoom,USD
2024-10-25,-171.5,Microsoft 365 ****4612,Microsoft 365,USD
2024-10-26,3477.88,Square Payment,Square,USD
2024-10-27,2856.95,Wire Transfer Payment,Wire Transfer,USD
2024-10-27,-215.37,Microsoft 365 ****3324,Microsoft 365,USD
2024-10-28,-418.99,Microsoft 365 ****5381,Microsoft 365,USD
2024-10-30,-154.25,Digital Ocean ****7947,Digital Ocean,USD
