date,amount,description,counterparty,currency
2025-05-01,-1048.91,Facebook Ads ****7563,Facebook Ads,USD
2025-05-02,12688.19,Wire Transfer Payment,Wire Transfer,USD
2025-05-02,-271.68,LinkedIn Sales Nav ****3440,LinkedIn Sales Nav,USD
2025-05-03,-1900.63,Google Ads ****6123,Google Ads,USD
2025-05-04,-223.61,Zoom ****3616,Zoom,USD
2025-05-07,-174.0,LinkedIn Sales Nav ****3481,LinkedIn Sales Nav,USD
2025-05-08,5483.8,Square Payment,Square,USD
2025-05-08,-454.96,Microsoft 365 ****4697,Microsoft 365,USD
2025-05-11,7144.41,Stripe Payment,Stripe,USD
2025-05-12,-458.26,LinkedIn Sales Nav ****6608,LinkedIn Sales Nav,USD
2025-05-13,-418.28,Adobe Creative Cloud ****5442,Adobe Creative Cloud,USD
2025-05-15,-166.79,Slack ****5876,Slack,USD
2025-05-16,-297.4,Digital Ocean ****9899,Digital Ocean,USD
2025-05-16,-161.62,AWS ****2294,AWS,USD
2025-05-17,-190.68,LinkedIn Sales Nav ****5480,LinkedIn Sales Nav,USD
2025-05-17,-249.39,Amazon Business ****3252,Amazon Business,USD
2025-05-18,-336.59,LinkedIn Sales Nav ****8849,LinkedIn Sales Nav,USD
2025-05-19,-1727.57,Facebook Ads ****3399,Facebook Ads,USD
2025-05-20,-121.85,Amazon Business ****9221,Amazon Business,USD
2025-05-24,-1513.8,Google Ads ****5331,Google Ads,USD
2025-05-24,-154.02,Amazon Business ****2789,Amazon Business,USD
2025-05-25,3717.85,Square Payment,Square,USD
2025-05-25,3183.62,Square Payment,Square,USD
2025-05-25,4869.66,Check Payment,Check,USD
2025-05-26,4830.6,Check Payment,Check,USD
2025-05-26,-116.33,LinkedIn Sales Nav ****5038,LinkedIn Sales Nav,USD
2025-05-26,-303.74,Amazon Business ****4972,Amazon Business,USD
2025-05-27,6474.55,Wire Transfer Payment,Wire Transfer,USD
2025-05-27,-49.93,Adobe Creative Cloud ****7771,Adobe Creative Cloud,USD
2025-05-28,2397.36,Wire Transfer Payment,Wire Transfer,USD
2025-05-28,-274.6,LinkedIn Sales Nav ****6140,LinkedIn Sales Nav,USD
2025-05-29,-271.37,GitHub ****6325,GitHub,USD
2025-05-31,-462.25,Zoom ****2020,Zoom,USD
2025-05-31,-359.83,Figma ****9011,Figma,USD
