date,amount,description,counterparty,currency
2025-06-02,1777.58,PayPal Payment,PayPal,USD
2025-06-07,-213.57,FedEx ****9116,FedEx,USD
2025-06-07,-166.74,AWS ****2758,AWS,USD
2025-06-07,-81.16,Microsoft 365 ****6026,Microsoft 365,USD
2025-06-08,-78.3,Zoom ****9972,Zoom,USD
2025-06-11,-1823.37,Facebook Ads ****3880,Facebook Ads,USD
2025-06-11,-482.01,Amazon Business ****5742,Amazon Business,USD
2025-06-11,-431.67,Zoom ****7643,Zoom,USD
2025-06-11,-1529.11,Facebook Ads ****6095,Facebook Ads,USD
2025-06-14,-853.28,Facebook Ads ****5374,Facebook Ads,USD
2025-06-14,-195.79,Microsoft 365 ****4871,Microsoft 365,USD
2025-06-16,-331.8,Figma ****2465,Figma,USD
2025-06-16,-240.82,Figma ****9901,Figma,USD
2025-06-16,-301.67,Figma ****1187,Figma,USD
2025-06-17,-129.9,Zoom ****3188,Zoom,USD
2025-06-18,-70.31,Microsoft 365 ****3303,Microsoft 365,USD
2025-06-19,27086.78,Wire Transfer Payment,Wire Transfer,USD
2025-06-19,-285.89,Amazon Business ****8714,Amazon Business,USD
2025-06-21,-1903.74,Google Ads ****1111,Google Ads,USD
2025-06-21,-241.11,GitHub ****7121,GitHub,USD
2025-06-22,-447.4,LinkedIn Sales Nav ****3198,LinkedIn Sales Nav,USD
2025-06-22,-275.88,LinkedIn Sales Nav ****6927,LinkedIn Sales Nav,USD
2025-06-23,36837.32,Stripe Payment,Stripe,USD
2025-06-26,-384.06,Adobe Creative Cloud ****5706,Adobe Creative Cloud,USD
2025-06-26,-135.3,Zoom ****1611,Zoom,USD
2025-06-26,-366.33,Figma ****1230,Figma,USD
2025-06-28,-328.39,Digital Ocean ****5833,Digital Ocean,USD
2025-06-29,-1686.15,Google Ads ****4164,Google Ads,USD
2025-06-30,-405.95,Slack ****4578,Slack,USD
2025-06-30,-348.16,Adobe Creative Cloud ****2341,Adobe Creative Cloud,USD
