date,amount,description,counterparty,currency
2025-01-03,-343.31,GitHub ****9624,GitHub,USD
2025-01-03,-391.27,Amazon Business ****3712,Amazon Business,USD
2025-01-03,-199.72,Adobe Creative Cloud ****8218,Adobe Creative Cloud,USD
2025-01-03,-405.6,Adobe Creative Cloud ****3267,Adobe Creative Cloud,USD
2025-01-07,-127.44,Figma ****3449,Figma,USD
2025-01-08,8911.79,PayPal Payment,PayPal,USD
2025-01-08,-208.77,Microsoft 365 ****7116,Microsoft 365,USD
2025-01-08,-120.76,Figma ****4268,Figma,USD
2025-01-08,-1900.06,Google Ads ****9444,Google Ads,USD
2025-01-09,11964.13,Stripe Payment,Stripe,USD
2025-01-09,-422.43,Digital Ocean ****9189,Digital Ocean,USD
2025-01-09,-393.69,Amazon Business ****8498,Amazon Business,USD
2025-01-10,-161.85,Staples ****5934,Staples,USD
2025-01-10,-138.26,AWS ****8489,AWS,USD
2025-01-11,-161.27,AWS ****8740,AWS,USD
2025-01-11,-192.34,AWS ****6546,AWS,USD
2025-01-15,-32.72,Amazon Business ****2106,Amazon Business,USD
2025-01-18,-222.08,AWS ****7495,AWS,USD
2025-01-18,-38.39,Adobe Creative Cloud ****2623,Adobe Creative Cloud,USD
2025-01-18,-373.15,Adobe Creative Cloud ****2698,Adobe Creative Cloud,USD
2025-01-20,-317.03,AWS ****4941,AWS,USD
2025-01-21,-27.49,Zoom ****2298,Zoom,USD
2025-01-23,3973.49,Wire Transfer Payment,Wire Transfer,USD
2025-01-23,-853.67,Google Ads ****2337,Google Ads,USD
2025-01-23,-601.52,Google Ads ****9618,Google Ads,USD
2025-01-24,11842.94,Check Payment,Check,USD
2025-01-24,-314.22,Amazon Business ****7934,Amazon Business,USD
2025-01-24,-398.55,Slack ****9316,Slack,USD
2025-01-24,-210.47,AWS ****8702,AWS,USD
2025-01-25,-366.31,Adobe Creative Cloud ****5772,Adobe Creative Cloud,USD
2025-01-25,-780.97,Facebook Ads ****2402,Facebook Ads,USD
2025-01-26,-32.81,Slack ****9443,Slack,USD
2025-01-29,-90.93,FedEx ****8685,FedEx,USD
2025-01-29,-325.07,LinkedIn Sales Nav ****3209,LinkedIn Sales Nav,USD
2025-01-31,4103.12,Wire Transfer Payment,Wire Transfer,USD
2025-01-31,-374.21,Zoom ****6447,Zoom,USD
