date,amount,description,counterparty,currency
2025-09-01,-114.38,Digital Ocean ****4555,Digital Ocean,USD
2025-09-04,-411.25,Slack ****8054,Slack,USD
2025-09-05,6964.5,Stripe Payment,Stripe,USD
2025-09-05,-29.49,Microsoft 365 ****3807,Microsoft 365,USD
2025-09-05,-125.42,Adobe Creative Cloud ****8790,Adobe Creative Cloud,USD
2025-09-06,-96.74,Amazon Business ****4583,Amazon Business,USD
2025-09-06,-1938.95,Google Ads ****8520,Google Ads,USD
2025-09-06,-1068.9,Facebook Ads ****8798,Facebook Ads,USD
2025-09-06,-426.53,LinkedIn Sales Nav ****6427,LinkedIn Sales Nav,USD
2025-09-09,-367.15,GitHub ****9000,GitHub,USD
2025-09-09,-495.4,Slack ****1962,Slack,USD
2025-09-10,5320.33,Wire Transfer Payment,Wire Transfer,USD
2025-09-10,4970.27,Wire Transfer Payment,Wire Transfer,USD
2025-09-12,-415.26,Staples ****9037,Staples,USD
2025-09-12,-193.36,FedEx ****7502,FedEx,USD
2025-09-13,-418.33,Microsoft 365 ****2320,Microsoft 365,USD
2025-09-17,-425.21,GitHub ****4791,GitHub,USD
2025-09-18,-373.07,GitHub ****6770,GitHub,USD
2025-09-20,-423.56,AWS ****2217,AWS,USD
2025-09-20,-202.27,LinkedIn Sales Nav ****8916,LinkedIn Sales Nav,USD
2025-09-20,-139.46,GitHub ****9625,GitHub,USD
2025-09-21,10155.07,Check Payment,Check,USD
2025-09-21,-517.78,Facebook Ads ****9673,Facebook Ads,USD
2025-09-22,9285.97,Wire Transfer Payment,Wire Transfer,USD
2025-09-22,-495.36,Adobe Creative Cloud ****4700,Adobe Creative Cloud,USD
2025-09-22,-487.57,FedEx ****9653,FedEx,USD
2025-09-24,-333.7,FedEx ****1519,FedEx,USD
2025-09-25,-32.47,LinkedIn Sales Nav ****9719,LinkedIn Sales Nav,USD
2025-09-27,3393.62,PayPal Payment,PayPal,USD
2025-09-27,5722.1,Stripe Payment,Stripe,USD
2025-09-27,-279.48,Figma ****5697,Figma,USD
2025-09-29,-75.83,GitHub ****2578,GitHub,USD
2025-09-30,-48.04,Microsoft 365 ****1104,Microsoft 365,USD
