date,amount,description,counterparty,currency
2025-02-01,6649.28,PayPal Payment,PayPal,USD
2025-02-02,-305.71,Amazon Business ****8132,Amazon Business,USD
2025-02-03,6862.62,PayPal Payment,PayPal,USD
2025-02-06,-291.01,Amazon Business ****6885,Amazon Business,USD
2025-02-07,10935.75,Check Payment,Check,USD
2025-02-09,-436.2,Professional Liability Ins ****4854,Professional Liability Ins,USD
2025-02-10,-288.83,Practice CS ****6902,Practice CS,USD
2025-02-10,-59.08,QuickBooks ****1257,QuickBooks,USD
2025-02-10,-445.32,Amazon Business ****8155,Amazon Business,USD
2025-02-10,-90.18,Thomson Reuters ****7813,Thomson Reuters,USD
2025-02-11,-1406.86,Google Ads ****9161,Google Ads,USD
2025-02-14,-1889.85,Google Ads ****7012,Google Ads,USD
2025-02-18,19706.67,PayPal Payment,PayPal,USD
2025-02-19,-305.33,Amazon Business ****6212,Amazon Business,USD
2025-02-23,-339.68,Practice CS ****8780,Practice CS,USD
2025-02-23,-207.74,LinkedIn ****4698,LinkedIn,USD
2025-02-24,4315.52,Check Payment,Check,USD
2025-02-25,-240.84,CCH ****7948,CCH,USD
2025-02-28,-1109.05,Google Ads ****8130,Google Ads,USD
