date,amount,description,counterparty,currency
2025-01-01,3050.36,Square Payment,Square,USD
2025-01-01,-294.7,LinkedIn ****2522,LinkedIn,USD
2025-01-03,6652.5,Check Payment,Check,USD
2025-01-03,-247.43,Amazon Business ****8464,Amazon Business,USD
2025-01-09,-413.09,Practice CS ****1003,Practice CS,USD
2025-01-10,-308.14,Office Depot ****6330,Office Depot,USD
2025-01-11,4493.03,Wire Transfer Payment,Wire Transfer,USD
2025-01-12,-343.06,FedEx ****8972,FedEx,USD
2025-01-13,-348.72,Practice CS ****6187,Practice CS,USD
2025-01-14,7178.85,Stripe Payment,Stripe,USD
2025-01-14,-140.75,Office Depot ****3605,Office Depot,USD
2025-01-16,-604.41,Google Ads ****2781,Google Ads,USD
2025-01-16,-402.31,Office Depot ****5989,Office Depot,USD
2025-01-17,-333.49,Chamber of Commerce ****5949,Chamber of Commerce,USD
2025-01-17,-331.37,LinkedIn ****2007,LinkedIn,USD
2025-01-18,3784.91,PayPal Payment,PayPal,USD
2025-01-20,-491.73,Amazon Business ****6640,Amazon Business,USD
2025-01-21,4368.1,Square Payment,Square,USD
2025-01-21,6557.46,PayPal Payment,PayPal,USD
2025-01-22,2078.75,Wire Transfer Payment,Wire Transfer,USD
2025-01-22,-599.09,Google Ads ****4411,Google Ads,USD
2025-01-24,-215.39,LinkedIn ****7773,LinkedIn,USD
2025-01-24,-415.46,Thomson Reuters ****3886,Thomson Reuters,USD
2025-01-24,-210.24,Professional Liability Ins ****8326,Professional Liability Ins,USD
2025-01-25,-283.65,Errors & Omissions ****4869,Errors & Omissions,USD
2025-01-28,-391.39,Office Depot ****7208,Office Depot,USD
2025-01-31,3519.32,Check Payment,Check,USD
2025-01-31,-338.92,CCH ****8421,CCH,USD
