date,amount,description,counterparty,currency
2024-10-10,-430.57,CCH ****5889,CCH,USD
2024-10-11,-178.34,Professional Liability Ins ****7208,Professional Liability Ins,USD
2024-10-11,-368.94,LinkedIn ****5705,LinkedIn,USD
2024-10-13,-292.25,Office Depot ****9514,Office Depot,USD
2024-10-14,-51.16,CCH ****6718,CCH,USD
2024-10-14,-344.24,CCH ****3906,CCH,USD
2024-10-16,30509.62,PayPal Payment,PayPal,USD
2024-10-18,-88.91,LinkedIn ****5496,LinkedIn,USD
2024-10-19,-48.29,Thomson Reuters ****7831,Thomson Reuters,USD
2024-10-19,-221.54,Chamber of Commerce ****4438,Chamber of Commerce,USD
2024-10-22,-427.7,Office Depot ****5254,Office Depot,USD
2024-10-23,-300.01,Amazon Business ****1587,Amazon Business,USD
2024-10-25,-497.64,Office Depot ****6797,Office Depot,USD
2024-10-27,-490.19,Amazon Business ****9666,Amazon Business,USD
2024-10-28,23537.47,Stripe Payment,Stripe,USD
2024-10-31,-315.73,Practice CS ****2790,Practice CS,USD
