date,amount,description,counterparty,currency
2025-08-05,-228.35,Amazon Business ****5041,Amazon Business,USD
2025-08-05,-342.79,LinkedIn ****3650,LinkedIn,USD
2025-08-08,-242.82,LinkedIn ****3804,LinkedIn,USD
2025-08-09,3048.64,Check Payment,Check,USD
2025-08-09,4709.46,Stripe Payment,Stripe,USD
2025-08-09,-165.5,Errors & Omissions ****2486,Errors & Omissions,USD
2025-08-10,-322.74,Errors & Omissions ****1022,Errors & Omissions,USD
2025-08-11,3871.75,Square Payment,Square,USD
2025-08-12,2068.02,Check Payment,Check,USD
2025-08-12,-231.27,Errors & Omissions ****4643,Errors & Omissions,USD
2025-08-17,-409.62,LinkedIn ****2605,LinkedIn,USD
2025-08-18,-257.38,Chamber of Commerce ****4546,Chamber of Commerce,USD
2025-08-18,-44.03,QuickBooks ****8711,QuickBooks,USD
2025-08-19,2786.67,PayPal Payment,PayPal,USD
2025-08-19,-139.24,LinkedIn ****1203,LinkedIn,USD
2025-08-19,-391.62,LinkedIn ****7641,LinkedIn,USD
2025-08-20,1936.08,Wire Transfer Payment,Wire Transfer,USD
2025-08-23,-431.13,Chamber of Commerce ****2416,Chamber of Commerce,USD
2025-08-23,-422.57,LinkedIn ****5573,LinkedIn,USD
2025-08-23,-459.03,CCH ****1083,CCH,USD
2025-08-24,-400.03,CCH ****3784,CCH,USD
2025-08-25,4027.81,PayPal Payment,PayPal,USD
2025-08-27,5472.08,PayPal Payment,PayPal,USD
2025-08-27,-218.14,Amazon Business ****4571,Amazon Business,USD
2025-08-27,-432.51,LinkedIn ****1399,LinkedIn,USD
2025-08-28,-40.97,Chamber of Commerce ****9701,Chamber of Commerce,USD
2025-08-29,-129.43,Errors & Omissions ****5835,Errors & Omissions,USD
