date,amount,description,counterparty,currency
2025-09-05,-206.9,Thomson Reuters ****8624,Thomson Reuters,USD
2025-09-06,-439.1,QuickBooks ****4806,QuickBooks,USD
2025-09-07,-156.07,CCH ****3424,CCH,USD
2025-09-08,-138.35,Errors & Omissions ****2860,Errors & Omissions,USD
2025-09-08,-189.68,LinkedIn ****8272,LinkedIn,USD
2025-09-09,-480.17,Professional Liability Ins ****2260,Professional Liability Ins,USD
2025-09-10,-66.47,LinkedIn ****7400,LinkedIn,USD
2025-09-12,-55.1,QuickBooks ****6656,QuickBooks,USD
2025-09-13,-319.95,LinkedIn ****2075,LinkedIn,USD
2025-09-15,-264.19,Professional Liability Ins ****7929,Professional Liability Ins,USD
2025-09-16,20546.3,PayPal Payment,PayPal,USD
2025-09-18,-263.19,LinkedIn ****3010,LinkedIn,USD
2025-09-19,-277.65,Amazon Business ****9730,Amazon Business,USD
2025-09-19,-440.62,CCH ****9530,CCH,USD
2025-09-20,4766.43,Wire Transfer Payment,Wire Transfer,USD
2025-09-23,-198.65,QuickBooks ****3871,QuickBooks,USD
2025-09-24,-359.81,Chamber of Commerce ****4354,Chamber of Commerce,USD
2025-09-24,-375.26,LinkedIn ****4437,LinkedIn,USD
2025-09-24,-164.26,QuickBooks ****9870,QuickBooks,USD
2025-09-27,-269.5,QuickBooks ****6963,QuickBooks,USD
2025-09-27,-35.2,FedEx ****4097,FedEx,USD
2025-09-28,9112.81,Check Payment,Check,USD
2025-09-28,-386.42,Amazon Business ****6250,Amazon Business,USD
2025-09-29,-63.46,FedEx ****6500,FedEx,USD
