date,amount,description,counterparty,currency
2025-07-01,26077.83,Wire Transfer Payment,Wire Transfer,USD
2025-07-02,-241.69,Thomson Reuters ****3796,Thomson Reuters,USD
2025-07-02,-55.38,Office Depot ****2742,Office Depot,USD
2025-07-06,4299.11,Square Payment,Square,USD
2025-07-09,-196.9,Office Depot ****9842,Office Depot,USD
2025-07-12,-328.92,CCH ****9570,CCH,USD
2025-07-13,-179.91,Thomson Reuters ****2606,Thomson Reuters,USD
2025-07-13,-220.98,Amazon Business ****4276,Amazon Business,USD
2025-07-14,-117.02,QuickBooks ****3444,QuickBooks,USD
2025-07-15,-231.47,Practice CS ****6477,Practice CS,USD
2025-07-19,16880.9,Wire Transfer Payment,Wire Transfer,USD
2025-07-19,-379.87,Practice CS ****6336,Practice CS,USD
2025-07-20,-858.88,Google Ads ****3859,Google Ads,USD
2025-07-21,-80.13,Chamber of Commerce ****4855,Chamber of Commerce,USD
2025-07-22,-245.5,Practice CS ****4409,Practice CS,USD
2025-07-23,-116.15,Practice CS ****9686,Practice CS,USD
2025-07-23,-100.07,CCH ****1476,CCH,USD
2025-07-25,-42.87,Amazon Business ****3949,Amazon Business,USD
2025-07-25,-45.58,LinkedIn ****1859,LinkedIn,USD
2025-07-26,-190.23,Professional Liability Ins ****1074,Professional Liability Ins,USD
2025-07-27,-261.32,LinkedIn ****3617,LinkedIn,USD
2025-07-27,-50.66,QuickBooks ****6966,QuickBooks,USD
2025-07-28,16115.52,PayPal Payment,PayPal,USD
2025-07-28,-315.72,LinkedIn ****2442,LinkedIn,USD
2025-07-29,-306.54,LinkedIn ****6340,LinkedIn,USD
