date,amount,description,counterparty,currency
2025-04-01,-247.71,QuickBooks ****9399,QuickBooks,USD
2025-04-02,-321.55,Amazon Business ****5699,Amazon Business,USD
2025-04-02,-434.46,Chamber of Commerce ****6617,Chamber of Commerce,USD
2025-04-04,-144.72,Professional Liability Ins ****5603,Professional Liability Ins,USD
2025-04-07,-465.43,Professional Liability Ins ****8353,Professional Liability Ins,USD
2025-04-08,-150.59,FedEx ****2900,FedEx,USD
2025-04-08,-245.41,CCH ****8802,CCH,USD
2025-04-08,-319.21,QuickBooks ****1931,QuickBooks,USD
2025-04-11,15084.98,Stripe Payment,Stripe,USD
2025-04-13,-373.82,Office Depot ****6653,Office Depot,USD
2025-04-14,-1525.26,Google Ads ****7390,Google Ads,USD
2025-04-14,-159.57,Amazon Business ****4163,Amazon Business,USD
2025-04-15,-406.1,Professional Liability Ins ****5183,Professional Liability Ins,USD
2025-04-16,-379.42,LinkedIn ****9724,LinkedIn,USD
2025-04-17,-30.02,Chamber of Commerce ****1138,Chamber of Commerce,USD
2025-04-19,-174.95,FedEx ****9687,FedEx,USD
2025-04-22,-93.95,Professional Liability Ins ****8122,Professional Liability Ins,USD
2025-04-23,-346.92,Errors & Omissions ****3947,Errors & Omissions,USD
2025-04-23,-350.61,Thomson Reuters ****6759,Thomson Reuters,USD
2025-04-26,-432.72,FedEx ****6488,FedEx,USD
2025-04-27,-479.19,Errors & Omissions ****8074,Errors & Omissions,USD
2025-04-27,-210.8,Office Depot ****4961,Office Depot,USD
2025-04-28,-71.25,QuickBooks ****9704,QuickBooks,USD
2025-04-30,-304.64,FedEx ****4193,FedEx,USD
