date,amount,description,counterparty,currency
2025-08-01,-337.39,Coffee Bean Co ****9889,Coffee Bean Co,USD
2025-08-02,-156.22,Java Imports ****7798,Java Imports,USD
2025-08-02,-237.11,Roasters Supply ****8935,Roasters Supply,USD
2025-08-02,-220.12,Office Depot ****6213,Office Depot,USD
2025-08-05,3241.48,Wire Transfer Payment,Wire Transfer,USD
2025-08-05,-337.66,Uber Eats ****5497,Uber Eats,USD
2025-08-05,-435.91,Toast POS ****1803,Toast POS,USD
2025-08-06,-403.17,Duke Energy ****5806,Duke Energy,USD
2025-08-07,2398.3,PayPal Payment,PayPal,USD
2025-08-08,2586.5,Wire Transfer Payment,Wire Transfer,USD
2025-08-10,-62.51,Roasters Supply ****7267,Roasters Supply,USD
2025-08-12,-350.09,Amazon Business ****5708,Amazon Business,USD
2025-08-12,-67.93,Costco ****2612,Costco,USD
2025-08-12,-328.0,Square ****8529,Square,USD
2025-08-13,-29.46,Amazon Business ****8622,Amazon Business,USD
2025-08-14,-284.63,Amazon Business ****2210,Amazon Business,USD
2025-08-16,-229.58,Duke Energy ****5000,Duke Energy,USD
2025-08-17,4128.05,Stripe Payment,Stripe,USD
2025-08-17,-322.73,Duke Energy ****8994,Duke Energy,USD
2025-08-19,-354.65,Roasters Supply ****1474,Roasters Supply,USD
2025-08-19,-494.13,Duke Energy ****5901,Duke Energy,USD
2025-08-20,4049.41,Stripe Payment,Stripe,USD
2025-08-21,4051.18,PayPal Payment,PayPal,USD
2025-08-21,-293.82,AT&T ****3950,AT&T,USD
2025-08-23,-298.04,Duke Energy ****5837,Duke Energy,USD
2025-08-24,-213.8,Costco ****2315,Costco,USD
2025-08-24,-139.39,Amazon Business ****3344,Amazon Business,USD
2025-08-24,-260.95,Costco ****5689,Costco,USD
2025-08-25,-352.9,AT&T ****8484,AT&T,USD
2025-08-27,3878.1,Wire Transfer Payment,Wire Transfer,USD
2025-08-29,-359.35,Amazon Business ****2646,Amazon Business,USD
2025-08-29,-134.31,Office Depot ****6772,Office Depot,USD
