date,amount,description,counterparty,currency
2025-02-01,-43.95,Uber Eats ****6862,Uber Eats,USD
2025-02-07,-308.37,Java Imports ****6663,Java Imports,USD
2025-02-09,-452.26,AT&T ****4114,AT&T,USD
2025-02-11,-482.2,Toast POS ****5349,Toast POS,USD
2025-02-12,-461.26,Uber Eats ****6728,Uber Eats,USD
2025-02-12,-340.84,AT&T ****7211,AT&T,USD
2025-02-13,-338.52,Coffee Bean Co ****7528,Coffee Bean Co,USD
2025-02-14,1753.71,Square Payment,Square,USD
2025-02-14,-361.67,Coffee Bean Co ****1027,Coffee Bean Co,USD
2025-02-15,-402.79,Uber Eats ****4728,Uber Eats,USD
2025-02-15,-229.2,Cafe Equipment LLC ****6279,Cafe Equipment LLC,USD
2025-02-16,-435.57,Cincinnati Gas Electric ****5573,Cincinnati Gas Electric,USD
2025-02-16,-79.79,Coffee Bean Co ****5279,Coffee Bean Co,USD
2025-02-16,-356.17,AT&T ****3085,AT&T,USD
2025-02-17,-266.97,Amazon Business ****9785,Amazon Business,USD
2025-02-17,-58.24,AT&T ****6409,AT&T,USD
2025-02-18,4809.29,Wire Transfer Payment,Wire Transfer,USD
2025-02-18,-421.02,Clover ****5978,Clover,USD
2025-02-19,1177.66,PayPal Payment,PayPal,USD
2025-02-20,-235.03,Square ****4501,Square,USD
2025-02-22,-280.76,Office Depot ****4228,Office Depot,USD
2025-02-22,-402.02,Square ****3780,Square,USD
2025-02-25,4283.48,Stripe Payment,Stripe,USD
2025-02-25,-340.11,Duke Energy ****3041,Duke Energy,USD
2025-02-27,-453.83,Costco ****5930,Costco,USD
