date,amount,description,counterparty,currency
2025-01-02,3942.36,Square Payment,Square,USD
2025-01-02,-431.58,Uber Eats ****2604,Uber Eats,USD
2025-01-04,-99.78,Clover ****9320,Clover,USD
2025-01-07,-320.05,Square ****2638,Square,USD
2025-01-07,-413.12,Amazon Business ****5905,Amazon Business,USD
2025-01-08,-183.44,Coffee Bean Co ****3143,Coffee Bean Co,USD
2025-01-09,-126.25,Clover ****5345,Clover,USD
2025-01-09,-226.2,Amazon Business ****5533,Amazon Business,USD
2025-01-10,-473.9,Java Imports ****3442,Java Imports,USD
2025-01-11,-443.41,Duke Energy ****5002,Duke Energy,USD
2025-01-13,9197.26,PayPal Payment,PayPal,USD
2025-01-13,-326.26,Amazon Business ****5325,Amazon Business,USD
2025-01-13,-143.53,Amazon Business ****2684,Amazon Business,USD
2025-01-15,-87.17,AT&T ****5915,AT&T,USD
2025-01-15,-447.61,Java Imports ****3546,Java Imports,USD
2025-01-15,-312.29,Cincinnati Gas Electric ****6617,Cincinnati Gas Electric,USD
2025-01-18,-99.93,Cincinnati Gas Electric ****9900,Cincinnati Gas Electric,USD
2025-01-20,9073.73,Check Payment,Check,USD
2025-01-20,-44.87,Roasters Supply ****6974,Roasters Supply,USD
2025-01-21,-466.28,Duke Energy ****2188,Duke Energy,USD
2025-01-23,5663.7,PayPal Payment,PayPal,USD
2025-01-23,-144.28,Square ****1832,Square,USD
2025-01-24,-228.15,Costco ****1158,Costco,USD
2025-01-24,-421.43,Coffee Bean Co ****3426,Coffee Bean Co,USD
2025-01-27,-101.75,Cincinnati Gas Electric ****8239,Cincinnati Gas Electric,USD
2025-01-28,-470.99,Java Imports ****3200,Java Imports,USD
2025-01-29,-315.55,Cincinnati Gas Electric ****9666,Cincinnati Gas Electric,USD
