date,amount,description,counterparty,currency
2025-07-09,-216.98,Office Depot ****9431,Office Depot,USD
2025-07-09,-487.24,Coffee Bean Co ****4920,Coffee Bean Co,USD
2025-07-10,-233.11,Cincinnati Gas Electric ****8941,Cincinnati Gas Electric,USD
2025-07-12,-266.41,Toast POS ****3236,Toast POS,USD
2025-07-13,-286.85,Square ****7284,Square,USD
2025-07-15,-166.81,Costco ****9022,Costco,USD
2025-07-16,9201.34,Stripe Payment,Stripe,USD
2025-07-16,6616.45,Wire Transfer Payment,Wire Transfer,USD
2025-07-16,-266.18,Office Depot ****1042,Office Depot,USD
2025-07-17,-384.31,Toast POS ****8242,Toast POS,USD
2025-07-17,-287.16,Duke Energy ****9903,Duke Energy,USD
2025-07-18,-468.1,Square ****4090,Square,USD
2025-07-19,-254.19,Uber Eats ****8736,Uber Eats,USD
2025-07-20,-174.4,Java Imports ****6296,Java Imports,USD
2025-07-20,-50.75,AT&T ****9494,AT&T,USD
2025-07-20,-332.66,Java Imports ****3522,Java Imports,USD
2025-07-21,5979.61,PayPal Payment,PayPal,USD
2025-07-21,-163.63,Costco ****5479,Costco,USD
2025-07-23,-69.27,AT&T ****2858,AT&T,USD
2025-07-27,-411.44,AT&T ****1601,AT&T,USD
2025-07-28,-172.61,Roasters Supply ****1224,Roasters Supply,USD
2025-07-28,-296.6,Cafe Equipment LLC ****4826,Cafe Equipment LLC,USD
2025-07-30,-121.69,Coffee Bean Co ****9998,Coffee Bean Co,USD
