date,amount,description,counterparty,currency
2024-10-09,9915.5,Stripe Payment,Stripe,USD
2024-10-11,-164.26,Clover ****6925,Clover,USD
2024-10-14,-193.75,Duke Energy ****5374,Duke Energy,USD
2024-10-15,-265.04,Cafe Equipment LLC ****1434,Cafe Equipment LLC,USD
2024-10-15,-184.88,Office Depot ****2519,Office Depot,USD
2024-10-16,3895.38,Square Payment,Square,USD
2024-10-17,-326.95,Square ****6977,Square,USD
2024-10-21,-195.52,Java Imports ****6635,Java Imports,USD
2024-10-22,-238.37,Cafe Equipment LLC ****5557,Cafe Equipment LLC,USD
2024-10-26,-365.11,Cafe Equipment LLC ****9928,Cafe Equipment LLC,USD
2024-10-26,-487.23,Java Imports ****7201,Java Imports,USD
2024-10-27,-40.1,AT&T ****2535,AT&T,USD
2024-10-27,-359.67,Cafe Equipment LLC ****1750,Cafe Equipment LLC,USD
2024-10-28,-408.39,Cincinnati Gas Electric ****8527,Cincinnati Gas Electric,USD
2024-10-30,9906.68,Check Payment,Check,USD
2024-10-30,-392.21,Cafe Equipment LLC ****2307,Cafe Equipment LLC,USD
2024-10-31,-186.62,AT&T ****3547,AT&T,USD
2024-10-31,-332.82,Amazon Business ****3803,Amazon Business,USD
