date,amount,description,counterparty,currency
2024-11-03,-28.09,Uber Eats ****3615,Uber Eats,USD
2024-11-05,-436.58,Cafe Equipment LLC ****7227,Cafe Equipment LLC,USD
2024-11-08,-441.03,Costco ****5315,Costco,USD
2024-11-09,-442.05,Cafe Equipment LLC ****2290,Cafe Equipment LLC,USD
2024-11-10,-255.85,Costco ****2133,Costco,USD
2024-11-10,-138.05,Clover ****8953,Clover,USD
2024-11-11,-231.51,Cincinnati Gas Electric ****8433,Cincinnati Gas Electric,USD
2024-11-12,1489.88,Check Payment,Check,USD
2024-11-14,2716.32,Wire Transfer Payment,Wire Transfer,USD
2024-11-14,-383.75,Clover ****4295,Clover,USD
2024-11-15,2803.84,Square Payment,Square,USD
2024-11-15,3215.41,PayPal Payment,PayPal,USD
2024-11-15,-185.59,Java Imports ****4770,Java Imports,USD
2024-11-15,-455.07,Java Imports ****6413,Java Imports,USD
2024-11-16,-439.41,Clover ****7932,Clover,USD
2024-11-19,-408.22,Uber Eats ****4923,Uber Eats,USD
2024-11-20,1559.84,Check Payment,Check,USD
2024-11-20,1553.22,Stripe Payment,Stripe,USD
2024-11-20,-308.05,AT&T ****8668,AT&T,USD
2024-11-22,-239.46,Clover ****5061,Clover,USD
2024-11-24,-68.18,Square ****1771,Square,USD
2024-11-24,-486.26,Cincinnati Gas Electric ****1188,Cincinnati Gas Electric,USD
2024-11-24,-109.86,Office Depot ****2743,Office Depot,USD
2024-11-25,1538.22,Check Payment,Check,USD
2024-11-25,-463.16,Office Depot ****1009,Office Depot,USD
2024-11-26,3379.1,PayPal Payment,PayPal,USD
2024-11-26,-196.95,AT&T ****3266,AT&T,USD
2024-11-26,-28.42,Cafe Equipment LLC ****1964,Cafe Equipment LLC,USD
2024-11-27,-97.6,Cafe Equipment LLC ****3646,Cafe Equipment LLC,USD
2024-11-27,-257.09,Duke Energy ****2832,Duke Energy,USD
2024-11-28,2126.56,PayPal Payment,PayPal,USD
2024-11-29,-79.41,Costco ****9797,Costco,USD
2024-11-29,-474.75,Square ****3705,Square,USD
2024-11-30,-214.52,Cincinnati Gas Electric ****7118,Cincinnati Gas Electric,USD
