company_id,txn_id,date,amount,description,counterparty,predicted_account,approved_account,confidence,review_outcome
sim_cincy_web,txn_sim_cincy_web_7c2e368fd5294849,2024-10-09,-154.80,GitHub ****6062,GitHub,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_d4e4c492dfa44417,2024-10-10,5018.79,Check Payment,Check,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_b2975fa7b9664a84,2024-10-10,-99.77,GitHub ****1815,GitHub,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_a0db7eddf7f6467d,2024-10-12,4967.51,Stripe Payment,Stripe,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_4559a9da89644520,2024-10-13,5440.42,Stripe Payment,Stripe,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_15e86f02046d4df0,2024-10-15,-268.36,Staples ****6655,Staples,6100 Office Supplies,6100 Office Supplies,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_6ac8f9ed70204065,2024-10-18,5102.46,PayPal Payment,PayPal,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_8d6d7098f37c4163,2024-10-19,-509.16,Google Ads ****3347,Google Ads,7000 Advertising,7000 Advertising,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_5e24373e64474b0d,2024-10-20,2189.31,PayPal Payment,PayPal,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_f66c06f1317745a9,2024-10-21,-51.02,Zoom ****4349,Zoom,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_0a43c41b82e94cf5,2024-10-22,3621.59,Wire Transfer Payment,Wire Transfer,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_6ab94ffcd2454187,2024-10-22,-159.54,Digital Ocean ****8972,Digital Ocean,6300 Software Subscriptions,6300 Software Subscriptions,0.9200,approved
sim_cincy_web,txn_sim_cincy_web_a1490e09c93649a1,2024-10-23,-736.11,Google Ads ****6105,Google Ads,7000 Advertising,7000 Advertising,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_a88cb4ea01854838,2024-10-24,-234.97,Zoom ****5475,Zoom,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_2241482f8798413c,2024-10-25,-171.50,Microsoft 365 ****4612,Microsoft 365,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_165c974ff72848c9,2024-10-26,3477.88,Square Payment,Square,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_bcef40ace57443f7,2024-10-27,2856.95,Wire Transfer Payment,Wire Transfer,8000 Sales Revenue,8000 Sales Revenue,0.8800,approved
sim_cincy_web,txn_sim_cincy_web_43541d9f75bf4732,2024-10-27,-215.37,Microsoft 365 ****3324,Microsoft 365,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_8d619b1151f347cb,2024-10-28,-418.99,Microsoft 365 ****5381,Microsoft 365,6300 Software Subscriptions,6300 Software Subscriptions,0.9500,approved
sim_cincy_web,txn_sim_cincy_web_487b5a1ec9e7402b,2024-10-30,-154.25,Digital Ocean ****7947,Digital Ocean,6300 Software Subscriptions,6300 Software Subscriptions,0.9200,approved
